,GenderSelect,Country,Age,EmploymentStatus,CodeWriter,CurrentJobTitleSelect,CurrentEmployerType,LanguageRecommendationSelect,FormalEducation,CompensationAmount,CompensationCurrency,exchangeRate,CompensationAmountExanged
1377,Male,China,34.0,Employed full-time,Yes,Data Analyst,Employed by college or university,R,Master's degree,17000,USD,1.0,17000.0
1379,Male,United States,34.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,Python,Master's degree,50000,USD,1.0,50000.0
1381,Male,United States,39.0,Employed full-time,Yes,Data Scientist,Employed by government,R,Master's degree,117000,USD,1.0,117000.0
1382,Male,India,24.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,R,Bachelor's degree,550000,INR,0.01562,8591.0
1383,Female,India,33.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,R,Master's degree,42000,INR,0.01562,656.04
1384,Female,India,26.0,Employed full-time,Yes,Data Analyst,Employed by government,Python,Master's degree,840000,INR,0.01562,13120.8
1386,Male,Japan,30.0,Employed full-time,Yes,Computer Scientist,Employed by college or university,Python,Doctoral degree,4000000,JPY,0.009108,36432.0
1391,Female,South Africa,28.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,R,Master's degree,0,ZAR,0.077002,0.0
1398,Male,United States,25.0,Employed full-time,Yes,Computer Scientist,Employed by a company that performs advanced analytics,Python,Bachelor's degree,120000,USD,1.0,120000.0
1400,Male,Japan,26.0,Employed full-time,Yes,Data Analyst,Employed by professional services/consulting firm,Python,Some college/university study without earning a bachelor's degree,3000000,JPY,0.009108,27324.0
1402,Male,Singapore,44.0,Employed full-time,Yes,Computer Scientist,Employed by college or university,Python,Doctoral degree,100000,SGD,0.742589,74258.90000000001
1403,Male,United States,25.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,Python,Master's degree,132000,USD,1.0,132000.0
1405,Male,Kenya,46.0,Employed full-time,Yes,Researcher,Employed by college or university,C/C++/C#,Master's degree,90000,KES,0.009726,875.34
1406,Female,India,28.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,R,Master's degree,2400000,INR,0.01562,37488.0
1410,Male,Australia,31.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Bachelor's degree,137000,AUD,0.80231,109916.47
1412,Male,Singapore,33.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,Python,Doctoral degree,120000,SGD,0.742589,89110.68000000001
1418,Male,China,26.0,Employed full-time,Yes,Machine Learning Engineer,Employed by professional services/consulting firm,Python,Master's degree,30000,USD,1.0,30000.0
1423,Male,Turkey,24.0,Employed full-time,Yes,Data Analyst,Employed by professional services/consulting firm,R,Bachelor's degree,45000,TRY,0.29178,13130.099999999999
1427,Male,United States,48.0,Employed full-time,Yes,Computer Scientist,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,Doctoral degree,350000,USD,1.0,350000.0
1428,Male,Israel,32.0,Employed full-time,Yes,Researcher,Employed by college or university,Python,Master's degree,50000,USD,1.0,50000.0
1430,Female,India,26.0,Employed full-time,Yes,Machine Learning Engineer,Employed by company that makes advanced analytic software,SQL,Bachelor's degree,700000,INR,0.01562,10934.0
1433,Male,India,30.0,Employed full-time,Yes,Scientist/Researcher,Employed by professional services/consulting firm,Python,Master's degree,1200000,INR,0.01562,18744.0
1440,Male,India,35.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Bachelor's degree,2900000,INR,0.01562,45298.0
1441,Male,Argentina,36.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,R,Master's degree,585000,ARS,0.058444,34189.740000000005
1442,Male,India,21.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by company that makes advanced analytic software,Python,Bachelor's degree,360000,INR,0.01562,5623.2
1445,Female,People 's Republic of China,38.0,Employed full-time,Yes,Engineer,Employed by company that makes advanced analytic software,Python,Master's degree,20000,CNY,0.153,3060.0
1446,Male,India,28.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,Master's degree,60000,INR,0.01562,937.2
1448,Male,India,42.0,Employed full-time,Yes,Computer Scientist,Employed by college or university,Python,Doctoral degree,1200000,INR,0.01562,18744.0
1451,Male,India,35.0,Employed full-time,Yes,Researcher,Employed by college or university,Python,Master's degree,360000,INR,0.01562,5623.2
1452,Male,Singapore,28.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by college or university,Python,Master's degree,50000,SGD,0.742589,37129.450000000004
1454,Male,United States,42.0,Employed full-time,Yes,Engineer,Employed by a company that doesn't perform advanced analytics,Python,Doctoral degree,107000,USD,1.0,107000.0
1457,Male,United States,26.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Bachelor's degree,120000,USD,1.0,120000.0
1458,Female,Sweden,43.0,Employed full-time,Yes,Other,Employed by a company that doesn't perform advanced analytics,Python,Professional degree,40000,USD,1.0,40000.0
1462,Male,Czech Republic,24.0,Employed full-time,Yes,Researcher,Employed by professional services/consulting firm,Python,Master's degree,600000,CZK,0.04582,27492.0
1466,Male,Poland,32.0,Employed full-time,Yes,Scientist/Researcher,"Employed by college or university,Employed by government",Python,Doctoral degree,60000,PLN,0.281104,16866.24
1469,Male,India,28.0,Employed full-time,Yes,Machine Learning Engineer,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,Bachelor's degree,710000,INR,0.01562,11090.2
1478,Male,People 's Republic of China,27.0,Employed full-time,Yes,Machine Learning Engineer,Employed by a company that performs advanced analytics,Python,Master's degree,280000,CNY,0.153,42840.0
1479,Male,Finland,23.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,R,Bachelor's degree,30000,EUR,1.195826,35874.78
1483,Female,India,24.0,Employed full-time,Yes,Machine Learning Engineer,Employed by professional services/consulting firm,R,Master's degree,700000,INR,0.01562,10934.0
1484,Female,Pakistan,23.0,Employed full-time,Yes,Programmer,Employed by company that makes advanced analytic software,Python,Master's degree,900000,PKR,0.009476,8528.4
1485,Male,India,27.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,SQL,Bachelor's degree,10000000,INR,0.01562,156200.0
1489,Male,Germany,39.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,Python,I prefer not to answer,70000,EUR,1.195826,83707.82
1490,Male,France,36.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Python,Master's degree,110000,EUR,1.195826,131540.86000000002
1495,Male,United States,46.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,Python,Bachelor's degree,190000,USD,1.0,190000.0
1500,Male,India,31.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Python,Master's degree,2000000,INR,0.01562,31240.0
1503,Male,India,26.0,Employed full-time,Yes,Data Scientist,Employed by college or university,Python,Master's degree,35000,INR,0.01562,546.7
1505,Male,India,29.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Master's degree,1600000,INR,0.01562,24992.0
1509,Male,India,27.0,Employed full-time,Yes,Software Developer/Software Engineer,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,Master's degree,1800000,INR,0.01562,28116.0
1510,Male,India,22.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,R,Bachelor's degree,550000,INR,0.01562,8591.0
1513,Male,Brazil,23.0,Employed full-time,Yes,Programmer,Employed by a company that doesn't perform advanced analytics,Python,Bachelor's degree,57600,BRL,0.32135,18509.760000000002
1514,Male,United States,39.0,Employed full-time,Yes,Machine Learning Engineer,Employed by a company that performs advanced analytics,Python,Master's degree,1000000,USD,1.0,1000000.0
1515,Female,United States,34.0,Employed full-time,Yes,Data Scientist,Employed by company that makes advanced analytic software,Python,Doctoral degree,150000,USD,1.0,150000.0
1516,Female,India,30.0,Employed full-time,Yes,Data Analyst,Employed by a company that doesn't perform advanced analytics,Python,Bachelor's degree,55000,INR,0.01562,859.1
1518,Male,India,32.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,SQL,Bachelor's degree,450000,INR,0.01562,7029.0
1519,Male,Japan,28.0,Employed full-time,Yes,Programmer,Employed by a company that doesn't perform advanced analytics,R,Master's degree,40000,USD,1.0,40000.0
1521,Male,China,54.0,Employed full-time,Yes,Computer Scientist,Employed by college or university,Python,Doctoral degree,75000,TWD,0.033304,2497.8
1523,Male,Japan,41.0,Employed full-time,Yes,Business Analyst,Employed by a company that doesn't perform advanced analytics,Python,Doctoral degree,6500000,JPY,0.009108,59202.0
1528,Male,Spain,24.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,R,Master's degree,6000,EUR,1.195826,7174.956
1533,Male,India,23.0,Employed full-time,Yes,Data Scientist,Employed by college or university,Python,Bachelor's degree,512000,INR,0.01562,7997.4400000000005
1534,Male,Australia,52.0,Employed full-time,Yes,Scientist/Researcher,Employed by company that makes advanced analytic software,Python,Doctoral degree,230000,AUD,0.80231,184531.3
1537,Male,India,35.0,Employed full-time,Yes,Other,Employed by a company that doesn't perform advanced analytics,R,Master's degree,2500000,INR,0.01562,39050.0
1540,Male,India,24.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Python,Bachelor's degree,300000,INR,0.01562,4686.0
1545,Male,South Africa,45.0,Employed full-time,Yes,Other,Employed by a company that performs advanced analytics,Python,Master's degree,1500000,ZAR,0.077002,115503.0
1546,Male,Greece,26.0,Employed full-time,Yes,Data Analyst,Employed by company that makes advanced analytic software,R,Master's degree,14000,EUR,1.195826,16741.564000000002
1550,Male,India,39.0,Employed full-time,Yes,Engineer,Employed by government,Python,Bachelor's degree,2000000,INR,0.01562,31240.0
1553,Male,Greece,31.0,Employed full-time,Yes,Data Scientist,Employed by a company that doesn't perform advanced analytics,Python,Master's degree,25000,EUR,1.195826,29895.65
1557,Female,Indonesia,22.0,Employed full-time,Yes,DBA/Database Engineer,Employed by government,SQL,Bachelor's degree,3000000,IDR,7.6e-05,228.0
1561,Male,Other,32.0,Employed full-time,Yes,Statistician,"Employed by non-profit or NGO,Employed by government",R,Doctoral degree,12000,USD,1.0,12000.0
1563,Male,Netherlands,35.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,Master's degree,45000,NPR,0.009754,438.93
1565,Male,India,25.0,Employed full-time,Yes,DBA/Database Engineer,Employed by a company that performs advanced analytics,Python,Bachelor's degree,10.9,AFN,0.01457,0.158813
1567,Male,India,36.0,Employed full-time,Yes,Other,Employed by a company that performs advanced analytics,Python,Bachelor's degree,4000000,INR,0.01562,62480.0
1574,Male,Singapore,27.0,Employed full-time,Yes,Machine Learning Engineer,Employed by professional services/consulting firm,Python,Master's degree,50400,SGD,0.742589,37426.4856
1575,Male,Ukraine,25.0,Employed full-time,Yes,Software Developer/Software Engineer,Self-employed,Python,Master's degree,20000,USD,1.0,20000.0
1580,Female,United States,24.0,Employed full-time,Yes,Researcher,Employed by non-profit or NGO,R,Bachelor's degree,60000,USD,1.0,60000.0
1582,Female,United States,26.0,Employed full-time,Yes,Machine Learning Engineer,Employed by company that makes advanced analytic software,Python,Master's degree,125000,USD,1.0,125000.0
1585,Male,Australia,57.0,Employed full-time,Yes,Data Analyst,Employed by company that makes advanced analytic software,Other,Bachelor's degree,90000,AUD,0.80231,72207.9
1589,Male,India,29.0,Employed full-time,Yes,Predictive Modeler,Employed by professional services/consulting firm,Scala,Master's degree,2400000,INR,0.01562,37488.0
1593,Female,United States,54.0,Employed full-time,Yes,Machine Learning Engineer,Employed by company that makes advanced analytic software,R,Master's degree,150000,USD,1.0,150000.0
1594,Female,Canada,30.0,Employed full-time,Yes,Machine Learning Engineer,Employed by a company that performs advanced analytics,Python,Doctoral degree,193000,CAD,0.823688,158971.78399999999
1595,Female,Ireland,34.0,Employed full-time,Yes,Other,Employed by a company that doesn't perform advanced analytics,R,Bachelor's degree,39000,EUR,1.195826,46637.214
1601,Male,United States,28.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Doctoral degree,100000,USD,1.0,100000.0
1602,Male,India,36.0,Employed full-time,Yes,Business Analyst,Employed by professional services/consulting firm,R,Master's degree,100000,INR,0.01562,1562.0
1605,Female,South Korea,29.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,R,Master's degree,30000,KRW,0.000886,26.58
1606,Female,India,25.0,Employed full-time,Yes,Data Analyst,Employed by professional services/consulting firm,R,Master's degree,150000,INR,0.01562,2343.0
1608,Male,India,21.0,Employed full-time,Yes,Programmer,Employed by a company that doesn't perform advanced analytics,R,Bachelor's degree,280000,INR,0.01562,4373.6
1610,Male,India,28.0,Employed full-time,Yes,Business Analyst,Employed by professional services/consulting firm,R,Master's degree,60000,INR,0.01562,937.2
1612,Male,India,24.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,Python,Bachelor's degree,800000,INR,0.01562,12496.0
1621,Male,United States,36.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,SQL,Master's degree,115000,USD,1.0,115000.0
1624,Male,India,24.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,Python,Master's degree,600000,INR,0.01562,9372.0
1627,Male,India,21.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,Python,Bachelor's degree,40000,INR,0.01562,624.8
1633,Male,Australia,32.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,R,Bachelor's degree,120000,AUD,0.80231,96277.2
1636,Male,India,23.0,Employed full-time,Yes,Data Analyst,Employed by professional services/consulting firm,Python,Bachelor's degree,650000,INR,0.01562,10153.0
1637,Male,United States,35.0,Employed full-time,Yes,Engineer,Employed by a company that performs advanced analytics,Python,Bachelor's degree,145000,USD,1.0,145000.0
1638,Male,Netherlands,29.0,Employed full-time,Yes,Other,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software",Python,Master's degree,85000,EUR,1.195826,101645.21
1640,Male,India,23.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,R,Master's degree,910000,INR,0.01562,14214.2
1649,Male,India,21.0,Employed full-time,Yes,Business Analyst,Employed by a company that performs advanced analytics,R,Bachelor's degree,65000,INR,0.01562,1015.3000000000001
1651,Male,India,28.0,Employed full-time,Yes,Predictive Modeler,Employed by professional services/consulting firm,R,Master's degree,750000,INR,0.01562,11715.0
1654,Male,India,21.0,Employed full-time,Yes,Researcher,Employed by company that makes advanced analytic software,Python,Bachelor's degree,1800000,INR,0.01562,28116.0
1656,Male,India,23.0,Employed full-time,Yes,Business Analyst,Employed by a company that performs advanced analytics,Python,Master's degree,14.5,INR,0.01562,0.22649
1663,Male,Pakistan,27.0,Employed full-time,Yes,Engineer,Employed by a company that doesn't perform advanced analytics,Matlab,Master's degree,860000,PKR,0.009476,8149.36
1664,Male,United Kingdom,32.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,R,Doctoral degree,55000,GBP,1.324188,72830.34
1665,Male,Other,39.0,Employed full-time,Yes,Data Analyst,Employed by government,R,Master's degree,3000,USD,1.0,3000.0
1671,Male,India,31.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Master's degree,2400000,INR,0.01562,37488.0
1675,Female,Other,28.0,Employed full-time,Yes,Business Analyst,Employed by professional services/consulting firm,R,Master's degree,15600,EUR,1.195826,18654.8856
1677,Male,Australia,28.0,Employed full-time,Yes,Data Analyst,Employed by professional services/consulting firm,Python,Doctoral degree,67000,AUD,0.80231,53754.77
1679,Male,Switzerland,42.0,Employed full-time,Yes,Data Scientist,Employed by government,R,Some college/university study without earning a bachelor's degree,125000,CHF,1.043382,130422.75
1681,Male,India,24.0,Employed full-time,Yes,Data Analyst,Employed by a company that doesn't perform advanced analytics,R,Bachelor's degree,150000,INR,0.01562,2343.0
1684,Male,Poland,36.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,Master's degree,48000,USD,1.0,48000.0
1685,Male,Malaysia,42.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,Master's degree,200000,MYR,0.237786,47557.2
1690,Male,India,27.0,Employed full-time,Yes,Data Scientist,Employed by company that makes advanced analytic software,Python,Bachelor's degree,2000000,INR,0.01562,31240.0
1695,Male,India,32.0,Employed full-time,Yes,Engineer,Employed by a company that doesn't perform advanced analytics,Python,Master's degree,120000,INR,0.01562,1874.4
1696,Male,Other,28.0,Employed full-time,Yes,Software Developer/Software Engineer,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,Bachelor's degree,120000,LKR,0.006536,784.32
1703,Male,India,29.0,Employed full-time,Yes,Data Miner,Employed by professional services/consulting firm,Python,Bachelor's degree,60000,INR,0.01562,937.2
1715,Male,Japan,34.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by company that makes advanced analytic software,Python,Master's degree,7000000,JPY,0.009108,63756.0
1716,Male,Other,28.0,Employed full-time,Yes,Scientist/Researcher,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,Master's degree,34200,CUP,0.04,1368.0
1721,Male,Russia,33.0,Employed full-time,Yes,Software Developer/Software Engineer,"Employed by company that makes advanced analytic software,Employed by government,Self-employed",Python,Master's degree,660000,RUB,0.017402,11485.32
1727,Male,Turkey,30.0,Employed full-time,Yes,Data Scientist,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,Master's degree,75000,TRY,0.29178,21883.5
1739,Male,South Africa,35.0,Employed full-time,Yes,Statistician,Employed by professional services/consulting firm,Python,Master's degree,800000,ZAR,0.077002,61601.6
1743,Male,People 's Republic of China,26.0,Employed full-time,Yes,Machine Learning Engineer,Employed by company that makes advanced analytic software,Python,Master's degree,300000,CNY,0.153,45900.0
1750,Male,India,27.0,Employed full-time,Yes,Data Analyst,Employed by a company that doesn't perform advanced analytics,Python,Bachelor's degree,280000,INR,0.01562,4373.6
1759,Male,India,29.0,Employed full-time,Yes,Business Analyst,Employed by a company that performs advanced analytics,R,Bachelor's degree,100000,INR,0.01562,1562.0
1761,"Non-binary, genderqueer, or gender non-conforming",Finland,28.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,Python,Master's degree,24000,EUR,1.195826,28699.824
1762,Male,India,27.0,Employed full-time,Yes,Predictive Modeler,Employed by professional services/consulting firm,SQL,Master's degree,1400000,INR,0.01562,21868.0
1767,Male,India,26.0,Employed full-time,Yes,Data Analyst,Employed by professional services/consulting firm,Python,Bachelor's degree,450000,INR,0.01562,7029.0
1773,Male,Poland,21.0,Employed full-time,Yes,Data Scientist,"Employed by professional services/consulting firm,Employed by a company that doesn't perform advanced analytics",Python,Bachelor's degree,50000,PLN,0.281104,14055.2
1777,Male,India,30.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,Python,Master's degree,1000000,INR,0.01562,15620.0
1778,Male,India,29.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,Bachelor's degree,780000,INR,0.01562,12183.6
1782,Male,India,34.0,Employed full-time,Yes,Scientist/Researcher,Employed by government,C/C++/C#,Bachelor's degree,1200000,INR,0.01562,18744.0
1786,Male,India,27.0,Employed full-time,Yes,Other,Employed by professional services/consulting firm,R,Master's degree,1800000,INR,0.01562,28116.0
1787,Male,Australia,33.0,Employed full-time,Yes,DBA/Database Engineer,Employed by college or university,R,Bachelor's degree,88000,AUD,0.80231,70603.28
1792,Male,Japan,31.0,Employed full-time,Yes,Machine Learning Engineer,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics",Python,Master's degree,7700000,JPY,0.009108,70131.59999999999
1800,Female,France,32.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,R,Doctoral degree,43000,EUR,1.195826,51420.518000000004
1802,Male,United States,65.0,Employed full-time,Yes,Other,Employed by college or university,R,Doctoral degree,165000,USD,1.0,165000.0
1804,Male,India,28.0,Employed full-time,Yes,Business Analyst,Employed by a company that performs advanced analytics,Python,Bachelor's degree,2000000,INR,0.01562,31240.0
1812,Female,People 's Republic of China,28.0,Employed full-time,Yes,Computer Scientist,Employed by professional services/consulting firm,Python,Master's degree,300000,CNY,0.153,45900.0
1814,Male,Russia,27.0,Employed full-time,Yes,Scientist/Researcher,Employed by a company that performs advanced analytics,Python,Master's degree,1400000,RUB,0.017402,24362.800000000003
1827,Male,Netherlands,31.0,Employed full-time,Yes,Data Scientist,Employed by government,Python,Master's degree,50700,EUR,1.195826,60628.3782
1828,Male,Ukraine,27.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Python,Master's degree,40000,USD,1.0,40000.0
1829,Male,Ukraine,29.0,Employed full-time,Yes,Data Scientist,Employed by a company that doesn't perform advanced analytics,R,Master's degree,40000,UAH,0.038368,1534.72
1833,Male,United Kingdom,22.0,Employed full-time,Yes,Data Scientist,Employed by a company that doesn't perform advanced analytics,Python,Master's degree,25000,GBP,1.324188,33104.7
1834,Male,France,29.0,Employed full-time,Yes,Data Scientist,,Python,Doctoral degree,50000,EUR,1.195826,59791.3
1849,Male,India,30.0,Employed full-time,Yes,Data Scientist,Employed by a company that doesn't perform advanced analytics,R,Master's degree,1600000,INR,0.01562,24992.0
1850,Male,Russia,43.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Python,Doctoral degree,3600000,RUB,0.017402,62647.200000000004
1857,Male,United States,23.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Master's degree,110000,USD,1.0,110000.0
1858,Female,Canada,45.0,Employed full-time,Yes,Data Scientist,Employed by company that makes advanced analytic software,Python,Master's degree,90000,CAD,0.823688,74131.92
1860,Female,United States,49.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Doctoral degree,330000,USD,1.0,330000.0
1864,Male,South Korea,48.0,Employed full-time,Yes,Researcher,Employed by government,Python,Doctoral degree,50000000,KRW,0.000886,44300.0
1865,Male,United Kingdom,48.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Doctoral degree,70000,GBP,1.324188,92693.15999999999
1866,Male,China,23.0,Employed full-time,Yes,Machine Learning Engineer,Employed by company that makes advanced analytic software,Python,Bachelor's degree,30000,USD,1.0,30000.0
1869,Male,Spain,42.0,Employed full-time,Yes,Programmer,Employed by a company that doesn't perform advanced analytics,Python,Master's degree,31000,EUR,1.195826,37070.606
1870,Male,Indonesia,34.0,Employed full-time,Yes,Other,Employed by college or university,Python,Master's degree,69150000,IDR,7.6e-05,5255.400000000001
1871,Male,India,22.0,Employed full-time,Yes,Programmer,Employed by a company that performs advanced analytics,Python,Bachelor's degree,550000,INR,0.01562,8591.0
1872,Male,Ireland,24.0,Employed full-time,Yes,Engineer,Employed by college or university,Python,Master's degree,26000,EUR,1.195826,31091.476000000002
1873,Male,France,25.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,Python,Master's degree,54000,CHF,1.043382,56342.628000000004
1876,Male,Other,29.0,Employed full-time,Yes,Business Analyst,Employed by professional services/consulting firm,Scala,Master's degree,45000,THB,0.030192,1358.64
1878,Male,United States,26.0,Employed full-time,Yes,Data Analyst,Employed by college or university,R,Bachelor's degree,52500,USD,1.0,52500.0
1885,Male,France,55.0,Employed full-time,Yes,Data Miner,Employed by college or university,Python,Doctoral degree,38000,EUR,1.195826,45441.388
1892,Male,India,27.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Python,Bachelor's degree,3300000,INR,0.01562,51546.0
1893,Male,Other,29.0,Employed full-time,Yes,Software Developer/Software Engineer,Employed by company that makes advanced analytic software,Python,Bachelor's degree,6000000,KZT,0.002948,17688.0
1900,Male,Belgium,37.0,Employed full-time,Yes,Data Scientist,Employed by non-profit or NGO,R,Master's degree,33000,EUR,1.195826,39462.258
1901,Male,India,35.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Python,Master's degree,1950000,INR,0.01562,30459.0
1904,Female,New Zealand,41.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,Python,Master's degree,64000,NZD,0.727801,46579.264
1916,Male,India,49.0,Employed full-time,Yes,Data Scientist,Employed by government,R,Master's degree,3000000,INR,0.01562,46860.0
1919,Male,India,32.0,Employed full-time,Yes,Machine Learning Engineer,Employed by professional services/consulting firm,Python,Bachelor's degree,2100000,INR,0.01562,32802.0
1920,Male,South Africa,27.0,Employed full-time,Yes,Data Scientist,Employed by professional services/consulting firm,Python,Bachelor's degree,37000,ZAR,0.077002,2849.074
1921,Male,India,25.0,Employed full-time,Yes,Data Analyst,Employed by professional services/consulting firm,Python,Bachelor's degree,1200000,INR,0.01562,18744.0
1926,Male,India,24.0,Employed full-time,Yes,Data Scientist,Employed by company that makes advanced analytic software,Python,Bachelor's degree,600000,INR,0.01562,9372.0
1930,Male,United Kingdom,26.0,Employed full-time,Yes,DBA/Database Engineer,Employed by a company that performs advanced analytics,SQL,Bachelor's degree,42000,GBP,1.324188,55615.89599999999
1932,Male,India,29.0,Employed full-time,Yes,Data Analyst,Employed by a company that doesn't perform advanced analytics,R,Bachelor's degree,1900000,INR,0.01562,29678.0
1936,Male,Italy,53.0,Employed full-time,Yes,Machine Learning Engineer,Employed by college or university,Python,Doctoral degree,30000,EUR,1.195826,35874.78
1937,Male,Pakistan,26.0,Employed full-time,Yes,Data Scientist,Employed by college or university,Python,Master's degree,52480,PKR,0.009476,497.30048
1938,Male,Spain,40.0,Employed full-time,Yes,Other,Employed by a company that performs advanced analytics,Python,Master's degree,65000,EUR,1.195826,77728.69
1939,Male,South Africa,28.0,Employed full-time,Yes,Data Analyst,Employed by a company that doesn't perform advanced analytics,Python,Master's degree,600000,ZAR,0.077002,46201.2
1943,Male,Finland,41.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Doctoral degree,55000,USD,1.0,55000.0
1944,Male,Finland,27.0,Employed full-time,Yes,Data Analyst,Employed by a company that performs advanced analytics,R,Bachelor's degree,39600,EUR,1.195826,47354.7096
1947,Male,India,24.0,Employed full-time,Yes,Machine Learning Engineer,Employed by professional services/consulting firm,R,Bachelor's degree,510000,INR,0.01562,7966.2
1948,Male,India,23.0,Employed full-time,Yes,Data Scientist,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,Bachelor's degree,1000000,INR,0.01562,15620.0
1949,Male,Germany,47.0,Employed full-time,Yes,Statistician,Employed by professional services/consulting firm,R,Doctoral degree,120000,EUR,1.195826,143499.12
1950,Male,United Kingdom,30.0,Employed full-time,Yes,Machine Learning Engineer,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,Master's degree,70000,GBP,1.324188,92693.15999999999
1952,Male,India,22.0,Employed full-time,Yes,Machine Learning Engineer,Employed by a company that performs advanced analytics,Python,Some college/university study without earning a bachelor's degree,504000,INR,0.01562,7872.4800000000005
1954,Male,Germany,28.0,Employed full-time,Yes,Scientist/Researcher,Employed by college or university,Python,Master's degree,45000,EUR,1.195826,53812.170000000006
1955,A different identity,Greece,34.0,Employed full-time,Yes,Data Scientist,Employed by company that makes advanced analytic software,Python,Doctoral degree,12000,EUR,1.195826,14349.912
1958,Male,China,29.0,Employed full-time,Yes,Data Scientist,Employed by a company that performs advanced analytics,Python,Master's degree,910000,TWD,0.033304,30306.64
1961,Female,Ireland,40.0,Employed full-time,Yes,Data Scientist,Employed by a company that doesn't perform advanced analytics,Python,Bachelor's degree,40000,EUR,1.195826,47833.04
